iter	Logloss
0	0.6248931936
1	0.5647525127
2	0.5188153324
3	0.4780647992
4	0.4429206004
5	0.4114270869
6	0.3883888858
7	0.3663193177
8	0.3484507844
9	0.3314835434
10	0.3186999553
11	0.3053177109
12	0.2942970712
13	0.2843983252
14	0.2759085572
15	0.2689699837
16	0.2624389481
17	0.2557992009
18	0.2503731153
19	0.2454147297
20	0.2409559456
21	0.2379301581
22	0.2334977087
23	0.2304611582
24	0.2280627814
25	0.2246684733
26	0.2216552348
27	0.219217974
28	0.2164466901
29	0.2141915902
30	0.2117534961
31	0.2095002556
32	0.2073603163
33	0.205741759
34	0.2040286642
35	0.2025603246
36	0.2011501184
37	0.1994598671
38	0.1983270285
39	0.1972074465
40	0.1958344857
41	0.194777145
42	0.1938798136
43	0.1924153206
44	0.1911552632
45	0.1896550871
46	0.188684929
47	0.1876397384
48	0.1870280348
49	0.1861164942
50	0.1851583405
51	0.1844367271
52	0.183662101
53	0.1826850127
54	0.1820770556
55	0.1811968229
56	0.1805252726
57	0.1797919452
58	0.1790919644
59	0.1787403792
60	0.1781375329
61	0.1773966611
62	0.1769946914
63	0.1761165372
64	0.175477207
65	0.1746951011
66	0.174041373
67	0.1735148283
68	0.1728375945
69	0.1720521285
70	0.1715782614
71	0.1710474179
72	0.1704683445
73	0.169878593
74	0.1694121442
75	0.1687583045
76	0.1685192313
77	0.1679746446
78	0.167468519
79	0.1668608898
80	0.166333812
81	0.1657300909
82	0.165466166
83	0.1651043447
84	0.1648583932
85	0.1642553417
86	0.1639775316
87	0.1634982462
88	0.163253897
89	0.1627473332
90	0.1624106318
91	0.1618890048
92	0.1616378456
93	0.1613331027
94	0.1609673603
95	0.1605243391
96	0.1601121509
97	0.1594863062
98	0.1591428968
99	0.1588394144
100	0.1584845156
101	0.1580926125
102	0.1578332386
103	0.1575810235
104	0.1571183362
105	0.1568613382
106	0.156551079
107	0.1562143167
108	0.1559291136
109	0.1555696249
110	0.1552039544
111	0.154880875
112	0.1543613519
113	0.1536486317
114	0.1534177789
115	0.1529135197
116	0.1525622659
117	0.1523313914
118	0.1520384746
119	0.1518467746
120	0.151408939
121	0.1512648265
122	0.1507417402
123	0.1504290576
124	0.1503131729
125	0.1500119122
126	0.1496690156
127	0.149429019
128	0.1491389527
129	0.1487457472
130	0.1485252095
131	0.1482049483
132	0.1479353639
133	0.1475279246
134	0.1472106514
135	0.1469202467
136	0.1466832528
137	0.1464310388
138	0.1461745661
139	0.1457710428
140	0.1454938872
141	0.14528524
142	0.1450446055
143	0.144776375
144	0.1446617523
145	0.1443515458
146	0.1441185385
147	0.1438433121
148	0.1435283963
149	0.1433601474
150	0.1431693555
151	0.142903225
152	0.1426372706
153	0.1425197192
154	0.1424624056
155	0.1422636894
156	0.142053983
157	0.1417433977
158	0.1415004588
159	0.1412366146
160	0.1410447039
161	0.1407051449
162	0.1406046491
163	0.1403483929
164	0.1400826796
165	0.1399841045
166	0.1398829121
167	0.139616148
168	0.1393906076
169	0.1391326202
170	0.1388620933
171	0.1385264911
172	0.1382710832
173	0.1380645731
174	0.1379042157
175	0.1376099224
176	0.1373228158
177	0.1370270104
178	0.1368356709
179	0.1365753954
180	0.136333011
181	0.1359603691
182	0.1356961256
183	0.1354199273
184	0.1352672245
185	0.1350632004
186	0.1347493367
187	0.1345574581
188	0.1344146418
189	0.1341351891
190	0.1338487538
191	0.1335939751
192	0.1333551112
193	0.1332244921
194	0.1330258531
195	0.1328216804
196	0.1326323974
197	0.1323618563
198	0.1322214959
199	0.1320791149
200	0.1317760312
201	0.1315179785
202	0.1312764461
203	0.131092159
204	0.1308947149
205	0.1304943416
