iter	Passed	Remaining
0	146	145984
1	310	154721
2	569	189163
3	918	228692
4	1247	248199
5	1414	234366
6	1590	225690
7	1762	218530
8	1927	212191
9	2095	207441
10	2282	205198
11	2484	204556
12	2764	209887
13	3120	219765
14	3442	226071
15	3711	228265
16	4024	232712
17	4236	231100
18	4375	225918
19	4550	222961
20	4721	220104
21	4854	215810
22	5010	212833
23	5155	209639
24	5289	206299
25	5423	203172
26	5569	200719
27	5703	197992
28	5836	195429
29	5971	193066
30	6104	190812
31	6242	188840
32	6384	187096
33	6537	185728
34	6669	183883
35	6839	183158
36	7003	182283
37	7145	180882
38	7291	179658
39	7424	178199
40	7569	177044
41	7713	175936
42	7845	174605
43	8022	174314
44	8172	173434
45	8317	172488
46	8498	172325
47	8634	171254
48	8778	170379
49	8914	169373
50	9055	168510
51	9250	168645
52	9404	168041
53	9549	167295
54	9694	166573
55	9830	165707
56	9967	164900
57	10115	164288
58	10249	163465
59	10378	162589
60	10523	162000
61	10659	161273
62	10787	160438
63	10929	159843
64	11076	159332
65	11213	158685
66	11363	158246
67	11541	158183
68	11679	157587
69	11814	156963
70	11954	156420
71	12084	155761
72	12232	155339
73	12375	154857
74	12515	154356
75	12666	153999
76	12812	153583
77	12946	153032
78	13094	152655
79	13233	152181
80	13403	152074
81	13531	151492
82	13696	151320
83	13860	151148
84	14003	150746
85	14144	150323
86	14288	149946
87	14428	149527
88	14558	149019
89	14701	148649
90	14835	148186
91	14973	147779
92	15109	147362
93	15247	146956
94	15385	146569
95	15535	146296
96	15671	145886
97	15803	145458
98	15975	145390
99	16134	145211
100	16278	144894
101	16427	144627
102	16560	144223
103	16696	143844
104	16846	143595
105	17005	143419
106	17154	143168
107	17298	142871
108	17432	142497
109	17573	142182
110	17730	142004
111	17880	141766
112	18044	141643
113	18196	141421
114	18382	141466
115	18542	141309
116	18674	140938
117	18810	140599
118	18944	140250
119	19073	139869
120	19203	139504
121	19347	139241
122	19479	138891
123	19640	138750
124	19860	139023
125	20030	138944
126	20205	138893
127	20346	138607
128	20490	138353
129	20691	138472
130	20825	138145
131	20971	137902
132	21111	137618
133	21249	137326
134	21396	137093
135	21541	136853
136	21674	136530
137	21813	136258
138	22039	136515
139	22250	136680
140	22393	136428
141	22526	136112
142	22689	135978
143	22871	135957
144	23043	135874
145	23225	135852
146	23367	135596
147	23556	135608
148	23719	135470
149	23863	135225
150	24001	134949
151	24160	134792
152	24339	134741
153	24512	134660
154	24647	134367
155	24780	134070
156	24925	133837
157	25069	133596
158	25259	133603
159	25395	133326
160	25519	132985
161	25656	132718
162	25787	132419
163	25923	132146
164	26069	131929
165	26211	131690
166	26384	131604
167	26527	131374
168	26654	131065
169	26802	130859
170	26951	130658
171	27086	130395
172	27222	130130
173	27367	129917
174	27552	129888
175	27690	129641
176	27826	129383
177	27966	129148
178	28101	128888
179	28231	128611
180	28379	128412
181	28513	128155
182	28648	127899
183	28792	127686
184	28934	127466
185	29083	127277
186	29220	127039
187	29355	126788
188	29490	126542
189	29735	126769
190	30076	127392
191	30333	127655
192	30470	127408
193	30615	127198
194	30746	126929
195	30890	126715
196	31046	126551
197	31191	126340
198	31331	126113
199	31471	125886
200	31626	125719
201	31774	125523
202	31929	125358
203	32086	125200
204	32278	125176
205	32423	124971
206	32563	124747
207	32715	124570
208	32850	124327
209	32993	124119
210	33123	123860
211	33273	123677
212	33407	123433
213	33551	123232
214	33694	123025
215	33826	122779
216	33975	122592
217	34113	122370
218	34254	122157
219	34409	121997
220	34609	121994
221	34779	121883
222	34938	121736
223	35091	121567
224	35239	121379
225	35378	121164
226	35534	121005
227	35688	120838
228	35835	120650
229	35976	120444
230	36132	120286
231	36271	120070
232	36409	119854
233	36572	119718
234	36724	119551
235	36931	119557
236	37072	119352
237	37207	119127
238	37390	119055
239	37536	118867
240	37684	118681
241	37823	118470
242	37958	118249
243	38112	118087
244	38260	117904
245	38407	117719
246	38577	117605
247	38744	117484
248	38981	117570
249	39201	117605
250	39353	117433
251	39515	117293
252	39669	117126
253	39817	116945
254	39964	116759
255	40103	116551
256	40287	116473
257	40458	116356
258	40613	116193
259	40776	116056
260	40970	116005
261	41150	115913
262	41329	115817
263	41564	115877
264	41720	115715
265	41887	115584
266	42033	115396
267	42182	115214
268	42344	115070
269	42513	114943
270	42658	114753
271	42811	114584
272	42957	114394
273	43115	114240
274	43278	114097
275	43430	113925
276	43586	113765
277	43802	113760
278	43969	113626
279	44163	113562
280	44313	113384
281	44468	113220
282	44625	113062
283	44764	112857
284	44907	112661
285	45057	112485
286	45211	112318
287	45363	112147
288	45514	111974
289	45664	111799
290	45826	111653
291	46029	111605
292	46182	111436
293	46323	111240
294	46464	111043
295	46608	110853
296	46742	110639
297	46877	110430
298	47031	110264
299	47192	110115
300	47343	109943
301	47488	109758
302	47625	109553
303	47780	109391
304	47938	109237
305	48075	109034
306	48264	108948
307	48441	108835
308	48606	108695
309	48751	108511
310	48894	108323
311	49050	108163
312	49191	107968
313	49323	107758
314	49470	107577
315	49600	107362
316	49739	107166
317	49895	107008
318	50043	106832
319	50188	106650
320	50326	106453
321	50469	106267
322	50661	106185
323	50814	106021
324	50965	105851
325	51111	105671
326	51241	105459
327	51379	105266
328	51548	105134
329	51691	104949
330	51820	104736
331	51965	104557
332	52117	104390
333	52254	104195
334	52396	104009
335	52541	103831
336	52672	103624
337	52820	103453
338	53064	103468
339	53202	103275
340	53350	103103
341	53529	102988
342	53686	102834
343	53856	102703
344	54007	102536
345	54171	102394
346	54333	102248
347	54536	102178
348	54712	102056
349	54877	101914
350	55049	101787
351	55226	101666
352	55438	101611
353	55605	101472
354	55785	101356
355	55948	101209
356	56141	101116
357	56286	100938
358	56471	100830
359	56632	100679
360	56792	100526
361	56965	100398
362	57130	100253
363	57290	100100
364	57437	99925
365	57653	99869
366	57838	99758
367	58004	99616
368	58167	99468
369	58333	99325
370	58461	99115
371	58615	98952
372	58799	98840
373	58976	98715
374	59155	98592
375	59313	98435
376	59479	98290
377	59648	98152
378	59852	98069
379	60088	98038
380	60270	97919
381	60441	97782
382	60634	97680
383	60805	97542
384	60991	97427
385	61157	97282
386	61339	97161
387	61485	96982
388	61641	96820
389	61787	96642
390	61912	96431
391	62093	96308
392	62325	96262
393	62533	96181
394	62657	95968
395	62845	95855
396	62976	95654
397	63134	95494
398	63414	95518
399	63756	95634
400	63898	95449
401	64029	95248
402	64192	95094
403	64339	94916
404	64513	94778
405	64677	94626
406	64852	94490
407	65023	94347
408	65198	94211
409	65355	94048
410	65487	93849
411	65672	93726
412	65857	93603
413	66095	93555
414	66382	93574
415	66813	93796
416	67015	93693
417	67165	93516
418	67318	93346
419	67477	93182
420	67716	93129
421	67922	93031
422	68073	92857
423	68283	92763
424	68524	92709
425	68686	92549
426	68828	92361
427	69047	92278
